"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p53.tif","[Copyright] Bristol Record Office","204430"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p54.tif","[Copyright] Bristol Record Office","204431"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p55.tif","[Copyright] Bristol Record Office","204432"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p56.tif","[Copyright] Bristol Record Office","204433"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p57.tif","[Copyright] Bristol Record Office","204434"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p58.tif","[Copyright] Bristol Record Office","204367"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p59.tif","[Copyright] Bristol Record Office","204368"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p60.tif","[Copyright] Bristol Record Office","204369"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p61.tif","[Copyright] Bristol Record Office","204370"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p62.tif","[Copyright] Bristol Record Office","204371"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p63.tif","[Copyright] Bristol Record Office","204372"
"2005/078","Elliott","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","default","BEC 2005-078 ELLIOT p64.tif","[Copyright] Bristol Record Office","204373"
